sku,brand,function,price,descriptive_tokens
14041460,Nike Sportswear,Tracksuit,74.95,
14041460,Nike Sportswear,Tracksuit,74.95,
14041460,Nike Sportswear,Tracksuit,74.95,
14041466,Nike Sportswear,Tracksuit,74.95,
14041466,Nike Sportswear,Tracksuit,74.95,
14041466,Nike Sportswear,Tracksuit,74.95,
14041466,Nike Sportswear,Tracksuit,74.95,
14041466,Nike Sportswear,Tracksuit,74.95,
11114302,Jordan,Snapback,19.95,
14043411,Nike Sportswear,Jacket,84.95,
14043411,Nike Sportswear,Jacket,84.95,
14043411,Nike Sportswear,Jacket,84.95,
14043411,Nike Sportswear,Jacket,84.95,
14043411,Nike Sportswear,Jacket,84.95,
14061258,Nike Sportswear,Jacket,84.95,
14061258,Nike Sportswear,Jacket,84.95,
14061258,Nike Sportswear,Jacket,84.95,
14061258,Nike Sportswear,Jacket,84.95,
14061258,Nike Sportswear,Jacket,84.95,
13160774,Nike,Kit,31.47,
13160774,Nike,Kit,31.47,
13160774,Nike,Kit,31.47,
13160774,Nike,Kit,31.47,
13160774,Nike,Kit,31.47,
13160774,Nike,Kit,31.47,
13809737,Nike Sportswear,Size),72.95,
13809737,Nike Sportswear,Size),72.95,
13809737,Nike Sportswear,Size),72.95,
13809737,Nike Sportswear,Size),72.95,
13307705,Nike,Kit,31.47,
13307705,Nike,Kit,31.47,
13307705,Nike,Kit,31.47,
13307705,Nike,Kit,31.47,
13307705,Nike,Kit,31.47,
13307705,Nike,Kit,31.47,
12915107,Nike,Hat,17.95,
13921782,Nike,Tracksuit,54.95,
13921782,Nike,Tracksuit,54.95,
13921782,Nike,Tracksuit,54.95,
13921782,Nike,Tracksuit,54.95,
13921782,Nike,Tracksuit,54.95,
13921782,Nike,Tracksuit,54.95,
14016227,Nike,Handbag,37.95,
13922043,Nike,TrackJacket,64.95,
13922043,Nike,TrackJacket,64.95,
13922043,Nike,TrackJacket,64.95,
13922043,Nike,TrackJacket,64.95,
13922043,Nike,TrackJacket,64.95,
12413593,Nike Sportswear,Set,18.47,
12413593,Nike Sportswear,Set,18.47,
12413593,Nike Sportswear,Set,18.47,
14061367,Nike Sportswear,Gilet,59.95,
14061367,Nike Sportswear,Gilet,59.95,
14061367,Nike Sportswear,Gilet,59.95,
14061367,Nike Sportswear,Gilet,59.95,
14061367,Nike Sportswear,Gilet,59.95,
14061368,Nike Sportswear,Gilet,59.95,
14061368,Nike Sportswear,Gilet,59.95,
14061368,Nike Sportswear,Gilet,59.95,
14061368,Nike Sportswear,Gilet,59.95,
14061368,Nike Sportswear,Gilet,59.95,
14043417,Nike Sportswear,Gilet,59.95,
14043417,Nike Sportswear,Gilet,59.95,
14043417,Nike Sportswear,Gilet,59.95,
14043417,Nike Sportswear,Gilet,59.95,
14043417,Nike Sportswear,Gilet,59.95,
13308041,Nike,Kit,34.97,
13308041,Nike,Kit,34.97,
13308041,Nike,Kit,34.97,
13308041,Nike,Kit,34.97,
13905973,NIKEiD,Kit,54.95,
13905973,NIKEiD,Kit,54.95,
13905973,NIKEiD,Kit,54.95,
13905973,NIKEiD,Kit,54.95,
13905973,NIKEiD,Kit,54.95,
13891067,NIKEiD,Shirt,59.95,
13891067,NIKEiD,Shirt,59.95,
13891067,NIKEiD,Shirt,59.95,
13891067,NIKEiD,Shirt,59.95,
13891067,NIKEiD,Shirt,59.95,
12803731,Nike Sportswear,Hat,19.95,
14024869,Nike Sportswear,Hat,19.95,
13694758,Nike,Beanie,17.95,
13913000,Nike,Set,18.47,
13913000,Nike,Set,18.47,
13694760,Nike,Cap,22.95,
13694242,Nike,Cap,22.95,
13921998,NIKEiD,Kit,49.95,
13921998,NIKEiD,Kit,49.95,
13921998,NIKEiD,Kit,49.95,
13921998,NIKEiD,Kit,49.95,
13921998,NIKEiD,Kit,49.95,
13921998,NIKEiD,Kit,49.95,
13803217,Nike Sportswear,Jacket,62.95,
13803217,Nike Sportswear,Jacket,62.95,
13803217,Nike Sportswear,Jacket,62.95,
14016227,Nike,Handbag,37.95,
13307601,Nike,Kit,44.95,
13307601,Nike,Kit,44.95,
13307601,Nike,Kit,44.95,
13307601,Nike,Kit,44.95,
13307601,Nike,Kit,44.95,
13307601,Nike,Kit,44.95,
13890972,NIKEiD,Kit,49.95,
13890972,NIKEiD,Kit,49.95,
13890972,NIKEiD,Kit,49.95,
13890972,NIKEiD,Kit,49.95,
13890972,NIKEiD,Kit,49.95,
13890972,NIKEiD,Kit,49.95,
13890930,Nike,Kit,49.95,
13890930,Nike,Kit,49.95,
13890930,Nike,Kit,49.95,
13890930,Nike,Kit,49.95,
13890930,Nike,Kit,49.95,
13890930,Nike,Kit,49.95,
13891343,Nike,Jacket,54.95,
